mouse,25.0455,1.6105,132432720.0000,981.4464,472.2071,66499.8125,26615.7168,-977.0327,-0.0245,0.0000,0.0000,-0.0000
mouse,22.1191,0.6322,116958552.0000,837.2726,575.8629,23314.2422,59267.2852,-1262.3850,-1.5357,0.0000,0.0000,-0.0000
mouse,23.4136,1.6056,123803776.0000,744.3110,370.3007,61586.7383,24940.6328,-434.2063,-0.0118,0.0000,0.0000,-0.0000
block,9.0789,1.2854,48006556.0000,873.7719,554.0696,16820.1680,14775.9795,10.4857,0.0051,0.0000,0.0000,0.0000
block,9.3591,1.3602,49488104.0000,450.0248,296.7282,18669.6855,13914.3545,186.9601,0.0392,0.0000,0.0000,0.0000
block,8.5349,0.7469,45129644.0000,923.8314,477.5553,13710.2432,16163.3984,117.5954,1.5230,0.0000,0.0000,0.0000
orange,10.8829,0.9870,57545084.0000,872.1036,644.9442,17728.8281,18196.5664,-230.0381,-1.1822,0.0000,0.0000,-0.0000
orange,11.6556,0.9982,61631204.0000,593.0076,307.0446,19241.4238,19234.1387,313.4155,0.7796,0.0000,0.0000,0.0000
orange,14.0284,1.1159,74177456.0000,1084.6560,528.6415,26281.7754,20494.6992,1394.4154,0.2245,0.0000,0.0000,0.0000
scissor,3.3543,1.9954,17736270.0000,892.4848,584.8021,48855.9102,7627.3560,-4356.9634,-0.1041,0.0000,0.0000,-0.0000
scissor,3.3496,1.8165,17711536.0000,579.8633,320.8588,45076.6836,7434.9927,1850.3562,0.0490,0.0000,0.0000,0.0000
scissor,2.6914,0.4930,14231040.0000,823.2864,528.8742,5671.5981,41139.6953,1426.2235,1.5307,0.0000,0.0000,0.0000
pen,2.3964,20.6949,12671205.0000,974.3912,530.7730,93688.8828,201.4293,-937.0588,-0.0100,0.0000,0.0000,-0.0000
pen,2.7790,13.7262,14694375.0000,724.9499,206.9601,84558.9766,343.1117,2170.0557,0.0257,0.0000,0.0000,0.0000
pen,1.9848,0.0503,10495035.0000,890.1731,537.4033,157.8565,84530.0078,-681.8918,-1.5627,0.0000,0.0000,-0.0000
brush,6.2452,5.8512,33022500.0000,863.2400,446.4166,246164.6875,3509.6829,-24400.8105,-0.0992,0.0000,0.0000,-0.0000
brush,7.0318,10.5263,37182060.0000,863.0720,150.3159,276585.2188,1285.8398,-104.9676,-0.0004,0.0000,0.0000,-0.0000
brush,5.8641,1.6200,31007490.0000,1067.6566,599.9955,172235.6250,55240.4336,-96402.6484,-0.5127,0.0000,0.0000,-0.0000
cover,43.4644,1.9669,229825888.0000,994.4695,572.2938,149080.4531,41367.2344,10587.1123,0.0971,0.0000,0.0000,0.0000
cover,39.4871,1.9128,208795280.0000,875.9387,355.6864,131876.7500,38123.4609,9991.6641,0.1050,0.0000,0.0000,0.0000
cover,28.6234,0.6278,151351424.0000,872.9794,506.7032,31942.1758,86701.2969,-12413.4639,-1.3580,0.0000,0.0000,-0.0000
cutter,4.2588,2.8385,22519050.0000,1188.1488,567.3785,43896.7383,3605.5942,-3302.6931,-0.0812,0.0000,0.0000,-0.0000
cutter,5.0165,3.5355,26525864.0000,578.2537,195.7065,39208.4219,2851.2485,-1155.8123,-0.0317,0.0000,0.0000,-0.0000
cutter,4.4474,0.2859,23516610.0000,771.8569,513.4159,2525.6653,44610.5977,604.2401,1.5564,0.0000,0.0000,0.0000
